timestamp,pid,name,cpu_percent,memory_percent,memory_rss,num_threads,priority,score,category
2026-06-18 16:36:18,0,System Idle Process,0.0,4.881154861715662e-05,8192,60,,0,unknown
2026-06-18 16:36:18,4,System,0.0,0.0003660866146286747,61440,517,,0,unknown
2026-06-18 16:36:18,320,Registry,0.0,0.3984486713618496,66871296,4,,0,unknown
2026-06-18 16:36:18,496,agent-tool-host.exe,0.0,0.12354202955002341,20733952,30,,0,unknown
2026-06-18 16:36:18,544,msedge.exe,0.0,0.4339346672065224,72826880,33,,0,unknown
2026-06-18 16:36:18,1032,smss.exe,0.0,0.009274194237259758,1556480,2,,0,unknown
2026-06-18 16:36:18,1100,WUDFHost.exe,0.0,0.060916812674211465,10223616,6,,0,unknown
2026-06-18 16:36:18,1372,svchost.exe,0.0,0.07919673763133663,13291520,6,,0,unknown
2026-06-18 16:36:18,1388,svchost.exe,0.0,0.12429860855358935,20860928,12,,0,unknown
2026-06-18 16:36:18,1604,csrss.exe,0.0,0.04712755018986472,7909376,14,,0,unknown
2026-06-18 16:36:18,1612,svchost.exe,0.0,0.19634445431251252,32952320,12,,0,unknown
2026-06-18 16:36:18,1712,wininit.exe,0.0,0.06296689771613205,10567680,1,,0,unknown
2026-06-18 16:36:18,1720,csrss.exe,0.0,0.051813458857111756,8695808,14,,0,unknown
2026-06-18 16:36:18,1808,winlogon.exe,0.0,0.10860569567317348,18227200,4,,0,unknown
2026-06-18 16:36:18,1828,services.exe,0.0,0.08007534550644543,13438976,9,,0,unknown
2026-06-18 16:36:18,1860,lsass.exe,0.0,0.2194323168084276,36827136,11,,0,unknown
2026-06-18 16:36:18,1980,Trae CN.exe,0.0,3.295487299113021,553078784,39,,0,unknown
2026-06-18 16:36:18,2012,svchost.exe,0.0,0.28047115835418196,47071232,25,,0,unknown
2026-06-18 16:36:18,2020,fontdrvhost.exe,0.0,0.035437184296055704,5947392,5,,0,unknown
2026-06-18 16:36:18,2028,fontdrvhost.exe,0.0,0.1012839633806,16998400,5,,0,unknown
2026-06-18 16:36:18,2156,WUDFHost.exe,0.0,0.13979627523953658,23461888,23,,0,unknown
2026-06-18 16:36:18,2244,dwm.exe,0.0,0.7024958076981181,117899264,77,,0,unknown
2026-06-18 16:36:18,2292,svchost.exe,0.0,0.17855264484155894,29966336,12,,0,unknown
2026-06-18 16:36:18,2320,svchost.exe,0.0,0.0721434688561575,12107776,4,,0,unknown
2026-06-18 16:36:18,2344,svchost.exe,0.0,0.06286927461889773,10551296,5,,0,unknown
2026-06-18 16:36:18,2364,svchost.exe,0.0,0.11958829411203374,20070400,10,,0,unknown
2026-06-18 16:36:18,2372,svchost.exe,0.0,0.12803269202280182,21487616,7,,0,unknown
2026-06-18 16:36:18,2512,svchost.exe,0.0,0.23656517037304955,39702528,5,,0,unknown
